177: 21.036165, 31.107283 avg, 0.000001 rate, 4.018185 seconds, 11328 images
178: 20.219725, 30.018526 avg, 0.000001 rate, 4.015081 seconds, 11392 images
179: 19.906580, 29.007332 avg, 0.000001 rate, 4.016294 seconds, 11456 images
180: 19.663494, 28.072948 avg, 0.000001 rate, 4.013458 seconds, 11520 images
181: 18.926949, 27.158348 avg, 0.000001 rate, 4.422187 seconds, 11584 images
182: 19.260168, 26.368530 avg, 0.000001 rate, 4.568613 seconds, 11648 images
183: 18.589689, 25.590647 avg, 0.000001 rate, 4.570664 seconds, 11712 images
184: 17.109663, 24.742548 avg, 0.000001 rate, 4.570030 seconds, 11776 images
185: 15.858747, 23.854168 avg, 0.000001 rate, 4.569536 seconds, 11840 images
186: 15.538721, 23.022623 avg, 0.000001 rate, 4.568900 seconds, 11904 images
187: 14.974779, 22.217838 avg, 0.000001 rate, 4.571766 seconds, 11968 images
188: 13.556627, 21.351717 avg, 0.000001 rate, 4.569316 seconds, 12032 images
189: 13.102839, 20.526829 avg, 0.000001 rate, 4.569483 seconds, 12096 images
190: 12.388411, 19.712986 avg, 0.000001 rate, 4.570638 seconds, 12160 images
191: 12.443661, 18.986053 avg, 0.000001 rate, 4.422777 seconds, 12224 images
192: 10.791434, 18.166592 avg, 0.000001 rate, 4.568645 seconds, 12288 images
193: 11.497625, 17.499695 avg, 0.000001 rate, 4.569478 seconds, 12352 images
194: 10.697570, 16.819483 avg, 0.000001 rate, 4.570370 seconds, 12416 images
195: 11.630828, 16.300617 avg, 0.000001 rate, 4.571162 seconds, 12480 images
196: 9.096625, 15.580218 avg, 0.000001 rate, 4.570280 seconds, 12544 images
197: 9.245454, 14.946742 avg, 0.000002 rate, 4.568441 seconds, 12608 images
198: 8.621152, 14.314183 avg, 0.000002 rate, 4.570644 seconds, 12672 images
199: 8.961626, 13.778928 avg, 0.000002 rate, 4.566992 seconds, 12736 images
200: 9.793696, 13.380404 avg, 0.000002 rate, 4.570470 seconds, 12800 images
201: 10.046426, 13.047007 avg, 0.000002 rate, 6.413251 seconds, 12864 images
202: 10.148481, 12.757154 avg, 0.000002 rate, 6.635595 seconds, 12928 images
203: 9.560901, 12.437529 avg, 0.000002 rate, 6.632525 seconds, 12992 images
204: 9.119889, 12.105764 avg, 0.000002 rate, 6.643833 seconds, 13056 images
205: 9.345407, 11.829729 avg, 0.000002 rate, 6.643818 seconds, 13120 images
206: 8.524742, 11.499230 avg, 0.000002 rate, 6.640117 seconds, 13184 images
207: 8.859941, 11.235302 avg, 0.000002 rate, 6.648849 seconds, 13248 images
208: 8.261106, 10.937882 avg, 0.000002 rate, 6.637883 seconds, 13312 images
209: 7.858440, 10.629938 avg, 0.000002 rate, 6.642175 seconds, 13376 images
210: 7.056803, 10.272625 avg, 0.000002 rate, 6.639420 seconds, 13440 images
211: 6.974911, 9.942854 avg, 0.000002 rate, 6.437220 seconds, 13504 images
212: 6.586028, 9.607171 avg, 0.000002 rate, 6.635838 seconds, 13568 images
213: 7.913438, 9.437798 avg, 0.000002 rate, 6.638713 seconds, 13632 images
214: 6.101610, 9.104178 avg, 0.000002 rate, 6.642662 seconds, 13696 images
215: 6.410699, 8.834830 avg, 0.000002 rate, 6.642875 seconds, 13760 images
216: 5.848280, 8.536176 avg, 0.000002 rate, 6.637287 seconds, 13824 images
217: 6.092776, 8.291836 avg, 0.000002 rate, 6.646350 seconds, 13888 images
218: 6.825092, 8.145162 avg, 0.000002 rate, 6.642429 seconds, 13952 images
219: 5.768912, 7.907537 avg, 0.000002 rate, 6.651433 seconds, 14016 images
220: 5.349284, 7.651711 avg, 0.000002 rate, 6.645825 seconds, 14080 images
221: 5.585270, 7.445067 avg, 0.000002 rate, 3.514942 seconds, 14144 images
222: 4.971762, 7.197737 avg, 0.000002 rate, 3.635188 seconds, 14208 images
223: 4.871159, 6.965079 avg, 0.000002 rate, 3.636122 seconds, 14272 images
224: 4.860102, 6.754581 avg, 0.000003 rate, 3.636661 seconds, 14336 images
225: 4.883924, 6.567515 avg, 0.000003 rate, 3.635394 seconds, 14400 images
226: 5.195967, 6.430361 avg, 0.000003 rate, 3.638657 seconds, 14464 images
227: 4.929143, 6.280239 avg, 0.000003 rate, 3.636408 seconds, 14528 images
228: 5.144482, 6.166663 avg, 0.000003 rate, 3.635168 seconds, 14592 images
229: 4.528891, 6.002886 avg, 0.000003 rate, 3.636758 seconds, 14656 images
230: 5.319912, 5.934588 avg, 0.000003 rate, 3.634063 seconds, 14720 images
231: 5.312562, 5.872386 avg, 0.000003 rate, 2.279521 seconds, 14784 images
232: 5.255979, 5.810745 avg, 0.000003 rate, 2.358266 seconds, 14848 images
233: 4.969423, 5.726613 avg, 0.000003 rate, 2.359270 seconds, 14912 images
234: 3.861638, 5.540115 avg, 0.000003 rate, 2.358352 seconds, 14976 images
235: 4.991240, 5.485228 avg, 0.000003 rate, 2.359818 seconds, 15040 images
236: 4.387397, 5.375444 avg, 0.000003 rate, 2.358405 seconds, 15104 images
237: 3.995734, 5.237473 avg, 0.000003 rate, 2.357342 seconds, 15168 images
238: 4.509997, 5.164726 avg, 0.000003 rate, 2.358442 seconds, 15232 images
239: 4.677127, 5.115966 avg, 0.000003 rate, 2.360121 seconds, 15296 images
240: 4.511114, 5.055480 avg, 0.000003 rate, 2.364080 seconds, 15360 images
241: 4.290555, 4.978988 avg, 0.000003 rate, 2.958355 seconds, 15424 images
242: 3.870514, 4.868140 avg, 0.000003 rate, 3.056930 seconds, 15488 images
243: 3.760724, 4.757399 avg, 0.000003 rate, 3.059189 seconds, 15552 images
244: 3.618139, 4.643473 avg, 0.000004 rate, 3.058256 seconds, 15616 images
245: 4.427198, 4.621845 avg, 0.000004 rate, 3.058337 seconds, 15680 images
246: 4.640568, 4.623717 avg, 0.000004 rate, 3.061089 seconds, 15744 images
247: 3.610374, 4.522383 avg, 0.000004 rate, 3.058399 seconds, 15808 images
248: 3.934935, 4.463638 avg, 0.000004 rate, 3.059535 seconds, 15872 images
249: 4.617139, 4.478988 avg, 0.000004 rate, 3.059767 seconds, 15936 images
250: 3.816476, 4.412737 avg, 0.000004 rate, 3.062606 seconds, 16000 images
251: 3.873393, 4.358802 avg, 0.000004 rate, 2.283297 seconds, 16064 images
252: 4.340619, 4.356984 avg, 0.000004 rate, 2.360757 seconds, 16128 images
253: 4.572652, 4.378551 avg, 0.000004 rate, 2.360853 seconds, 16192 images
254: 4.631575, 4.403853 avg, 0.000004 rate, 2.361598 seconds, 16256 images
255: 4.140213, 4.377490 avg, 0.000004 rate, 2.381349 seconds, 16320 images
256: 3.720325, 4.311773 avg, 0.000004 rate, 2.374694 seconds, 16384 images
257: 3.973137, 4.277910 avg, 0.000004 rate, 2.370196 seconds, 16448 images
258: 3.786819, 4.228801 avg, 0.000004 rate, 2.369990 seconds, 16512 images
259: 4.171869, 4.223108 avg, 0.000004 rate, 2.369501 seconds, 16576 images
260: 4.021432, 4.202940 avg, 0.000005 rate, 2.371391 seconds, 16640 images
261: 4.331774, 4.215823 avg, 0.000005 rate, 5.916255 seconds, 16704 images
262: 4.060400, 4.200281 avg, 0.000005 rate, 6.119242 seconds, 16768 images
263: 3.870290, 4.167282 avg, 0.000005 rate, 6.122889 seconds, 16832 images
264: 4.264656, 4.177019 avg, 0.000005 rate, 6.122228 seconds, 16896 images
265: 4.348128, 4.194130 avg, 0.000005 rate, 6.121269 seconds, 16960 images
266: 4.348542, 4.209571 avg, 0.000005 rate, 6.119768 seconds, 17024 images
267: 3.988941, 4.187508 avg, 0.000005 rate, 6.119143 seconds, 17088 images
268: 3.636038, 4.132361 avg, 0.000005 rate, 6.120821 seconds, 17152 images
269: 4.166350, 4.135760 avg, 0.000005 rate, 6.121486 seconds, 17216 images
270: 3.874103, 4.109594 avg, 0.000005 rate, 6.118788 seconds, 17280 images
271: 4.030173, 4.101652 avg, 0.000005 rate, 7.193513 seconds, 17344 images
272: 3.405633, 4.032050 avg, 0.000005 rate, 7.444370 seconds, 17408 images
273: 3.982867, 4.027132 avg, 0.000006 rate, 7.445252 seconds, 17472 images
274: 4.375989, 4.062017 avg, 0.000006 rate, 7.441504 seconds, 17536 images
275: 4.541327, 4.109948 avg, 0.000006 rate, 7.439689 seconds, 17600 images
276: 4.184360, 4.117389 avg, 0.000006 rate, 7.454296 seconds, 17664 images
277: 3.839634, 4.089614 avg, 0.000006 rate, 7.445033 seconds, 17728 images
278: 3.596841, 4.040337 avg, 0.000006 rate, 7.448798 seconds, 17792 images
279: 3.854484, 4.021751 avg, 0.000006 rate, 7.454074 seconds, 17856 images
280: 3.300173, 3.949594 avg, 0.000006 rate, 7.452107 seconds, 17920 images
281: 3.805353, 3.935169 avg, 0.000006 rate, 4.770539 seconds, 17984 images
282: 3.597635, 3.901416 avg, 0.000006 rate, 4.916769 seconds, 18048 images
283: 3.468824, 3.858157 avg, 0.000006 rate, 4.916127 seconds, 18112 images
284: 3.411280, 3.813469 avg, 0.000007 rate, 4.917915 seconds, 18176 images
285: 3.458548, 3.777977 avg, 0.000007 rate, 4.917851 seconds, 18240 images
286: 3.266066, 3.726786 avg, 0.000007 rate, 4.916647 seconds, 18304 images
287: 3.659402, 3.720047 avg, 0.000007 rate, 4.917268 seconds, 18368 images
288: 3.278078, 3.675851 avg, 0.000007 rate, 4.920807 seconds, 18432 images
